osm_id,osm_type,isced_leve,name,amenity,capacity,x,y,OBJECTID,new_ward_n,GaPa_NaP_1,Type_GN,type_en,DISTRICT,hlcit_code,munid,districtid,state
4915942407,nodes,,Shri Rainas Pra V,school,,84.6330946000,27.8716283000,2725,4.000000,Sahid Lakhan,Gaunpalika,Rural Municipality,GORKHA,524 4 36 4 008,411.000000,36.000000,4.000000
5055871471,nodes,,Shree Mandredhunga Pra V,school,,85.1298955000,27.8864849000,5958,12.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
4967980711,nodes,,Shree Barahi Pra.V,school,,85.1883746000,27.9880137000,2098,5.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000
4706138525,nodes,,Shree Neelkanta Higher Sec School,school,,85.1840744000,27.9785677000,2098,5.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000
4940185637,nodes,,Shri Indrayani Ni Ma Vi,school,,84.9439006000,27.8050001000,1591,6.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000
5010622731,nodes,,Nari Chetana Bal Bikash Kendra,school,,85.1424913000,27.9142129000,5951,4.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
4563086889,nodes,,,school,,85.1451878000,27.9178928000,5950,2.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
4367679495,nodes,,,school,,85.1406005000,27.9222514000,5955,9.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
4941662039,nodes,,Shri Buddhi Bikash Pra V,school,,84.7486773000,27.8035007000,1526,7.000000,Benighat Rorang,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 008,320.000000,30.000000,3.000000
4912228426,nodes,,Shri Shilingtar Pra V,school,,84.5911485000,27.8816026000,2724,3.000000,Sahid Lakhan,Gaunpalika,Rural Municipality,GORKHA,524 4 36 4 008,411.000000,36.000000,4.000000
5055300883,nodes,,Shri Chandi Ni.Ma.Vi.,school,,85.0806347000,27.8576473000,5981,3.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
5047244078,nodes,,Shree Sulakshyana Ma Vi,school,,85.1584666000,27.9475845000,5955,9.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
5055601519,nodes,,Mahadev Multiple Campus,school,,85.0603241000,27.8522932000,5999,7.000000,Belkotgadhi,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 002,301.000000,28.000000,3.000000
5055224610,nodes,,Shri Seti Devi Pra Bi,school,,85.0873968000,27.8625042000,5981,3.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
4936634947,nodes,,Shri Belinitar Pra Vi,school,,84.9442606000,27.8147716000,1541,2.000000,Galchi,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 010,323.000000,30.000000,3.000000
4912218252,nodes,,Shri Karantar Namuna Pra V,school,,84.5535466000,27.8620247000,2724,3.000000,Sahid Lakhan,Gaunpalika,Rural Municipality,GORKHA,524 4 36 4 008,411.000000,36.000000,4.000000
5053261618,nodes,,Shr Mahendra Ma Vi,school,,85.1329416000,27.9054717000,5958,12.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
4894847801,nodes,,Shri Praja Jyoti Pra V,school,,84.7000622000,27.8116525000,2671,7.000000,Gandaki,Gaunpalika,Rural Municipality,GORKHA,524 4 36 4 009,408.000000,36.000000,4.000000
