SN,longitude,latitude,Width,Bridge_Type,district,WARD,PALIKA,type_gn,Status
16,84.969999999999999,27.806999999999999,2.000000000000000,Suspension Bridge,DHADING,1.000000000000000,Galchi,Gaunpalika,N/A
17,84.700000000000003,27.808000000000000,2.000000000000000,Suspension Bridge,GORKHA,7.000000000000000,Gandaki,Gaunpalika,N/A
18,84.853999999999999,27.808000000000000,2.000000000000000,Suspension Bridge,DHADING,6.000000000000000,Siddhalek,Gaunpalika,N/A
19,84.774000000000001,27.809000000000001,2.000000000000000,Suspension Bridge,GORKHA,8.000000000000000,Gandaki,Gaunpalika,N/A
20,84.756000000000000,27.809000000000001,2.000000000000000,Suspension Bridge,GORKHA,8.000000000000000,Gandaki,Gaunpalika,N/A
21,84.881000000000000,27.809999999999999,2.000000000000000,Suspension Bridge,DHADING,7.000000000000000,Siddhalek,Gaunpalika,N/A
22,85.013000000000005,27.809999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,5.000000000000000,Belkotgadhi,Nagarpalika,N/A
23,84.691000000000003,27.809999999999999,2.000000000000000,Suspension Bridge,GORKHA,6.000000000000000,Gandaki,Gaunpalika,N/A
24,84.834999999999994,27.809999999999999,2.000000000000000,Suspension Bridge,DHADING,6.000000000000000,Siddhalek,Gaunpalika,N/A
25,84.777000000000001,27.809999999999999,10.000000000000000,RCC Bridge,DHADING,5.000000000000000,Benighat Rorang,Gaunpalika,N/A
26,84.822000000000003,27.811000000000000,2.000000000000000,Suspension Bridge,DHADING,3.000000000000000,Benighat Rorang,Gaunpalika,N/A
27,84.965000000000003,27.812000000000001,10.000000000000000,RCC Bridge,DHADING,2.000000000000000,Galchi,Gaunpalika,N/A
28,84.944999999999993,27.812999999999999,2.000000000000000,Suspension Bridge,DHADING,2.000000000000000,Galchi,Gaunpalika,N/A
29,84.793999999999997,27.812999999999999,2.000000000000000,Suspension Bridge,DHADING,4.000000000000000,Siddhalek,Gaunpalika,N/A
30,84.677000000000007,27.815999999999999,2.000000000000000,Suspension Bridge,GORKHA,6.000000000000000,Gandaki,Gaunpalika,N/A
31,84.962000000000003,27.815999999999999,2.000000000000000,Suspension Bridge,DHADING,4.000000000000000,Galchi,Gaunpalika,N/A
32,84.954999999999998,27.817000000000000,2.000000000000000,Suspension Bridge,DHADING,2.000000000000000,Galchi,Gaunpalika,N/A
33,84.808999999999997,27.817000000000000,2.000000000000000,Suspension Bridge,DHADING,4.000000000000000,Siddhalek,Gaunpalika,N/A
34,84.668000000000006,27.821999999999999,2.000000000000000,Suspension Bridge,GORKHA,6.000000000000000,Gandaki,Gaunpalika,N/A
35,85.016999999999996,27.821999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,5.000000000000000,Belkotgadhi,Nagarpalika,N/A
36,85.021000000000001,27.832000000000001,2.000000000000000,Suspension Bridge,DHADING,1.000000000000000,Galchi,Gaunpalika,N/A
37,85.022000000000006,27.832999999999998,10.000000000000000,RCC Bridge,DHADING,1.000000000000000,Galchi,Gaunpalika,N/A
38,85.022000000000006,27.835999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,7.000000000000000,Belkotgadhi,Nagarpalika,N/A
39,84.662000000000006,27.844999999999999,10.000000000000000,RCC Bridge,GORKHA,6.000000000000000,Gandaki,Gaunpalika,N/A
40,85.027000000000001,27.847999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,4.000000000000000,Tarkeshwar,Gaunpalika,N/A
41,84.652000000000001,27.853000000000002,2.000000000000000,Suspension Bridge,GORKHA,2.000000000000000,Gandaki,Gaunpalika,N/A
42,84.557000000000002,27.853999999999999,10.000000000000000,RCC Bridge,CHITAWAN,5.000000000000000,Ichchhyakamana,Gaunpalika,N/A
43,85.072000000000003,27.853999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,3.000000000000000,Bidur,Nagarpalika,Fully damaged
44,84.557000000000002,27.855000000000000,10.000000000000000,RCC Bridge,CHITAWAN,5.000000000000000,Ichchhyakamana,Gaunpalika,N/A
45,85.040999999999997,27.856000000000002,10.000000000000000,RCC Bridge,NUWAKOT,4.000000000000000,Tarkeshwar,Gaunpalika,N/A
46,85.087000000000003,27.856000000000002,2.000000000000000,Suspension Bridge,NUWAKOT,3.000000000000000,Bidur,Nagarpalika,Fully damaged
47,85.043000000000006,27.856999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,4.000000000000000,Tarkeshwar,Gaunpalika,N/A
48,85.081999999999994,27.856999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,3.000000000000000,Bidur,Nagarpalika,Fully damaged
49,85.058000000000007,27.858000000000001,2.000000000000000,Suspension Bridge,NUWAKOT,7.000000000000000,Belkotgadhi,Nagarpalika,N/A
50,84.561000000000007,27.858000000000001,2.000000000000000,Suspension Bridge,GORKHA,3.000000000000000,Sahid Lakhan,Gaunpalika,N/A
51,85.099000000000004,27.859000000000002,10.000000000000000,RCC Bridge,NUWAKOT,3.000000000000000,Bidur,Nagarpalika,Fully damaged
52,85.061999999999998,27.859999999999999,10.000000000000000,RCC Bridge,NUWAKOT,7.000000000000000,Belkotgadhi,Nagarpalika,Fully damaged
53,84.641000000000005,27.859999999999999,10.000000000000000,RCC Bridge,GORKHA,1.000000000000000,Gandaki,Gaunpalika,N/A
54,84.640000000000001,27.859999999999999,2.000000000000000,Suspension Bridge,GORKHA,1.000000000000000,Gandaki,Gaunpalika,N/A
55,84.641999999999996,27.859999999999999,2.000000000000000,Suspension Bridge,GORKHA,1.000000000000000,Gandaki,Gaunpalika,N/A
56,85.108000000000004,27.861000000000001,2.000000000000000,Suspension Bridge,NUWAKOT,3.000000000000000,Bidur,Nagarpalika,Fully damaged
57,84.632000000000005,27.869000000000000,2.000000000000000,Suspension Bridge,CHITAWAN,3.000000000000000,Ichchhyakamana,Gaunpalika,N/A
58,85.116000000000000,27.870000000000001,10.000000000000000,RCC Bridge,NUWAKOT,5.000000000000000,Bidur,Nagarpalika,Fully damaged
59,84.608000000000004,27.872000000000000,2.000000000000000,Suspension Bridge,GORKHA,4.000000000000000,Sahid Lakhan,Gaunpalika,N/A
60,84.593000000000004,27.878000000000000,2.000000000000000,Suspension Bridge,GORKHA,3.000000000000000,Sahid Lakhan,Gaunpalika,N/A
61,85.135999999999996,27.891999999999999,10.000000000000000,RCC Bridge,NUWAKOT,6.000000000000000,Bidur,Nagarpalika,Fully damaged
62,85.138999999999996,27.910000000000000,10.000000000000000,RCC Bridge,NUWAKOT,4.000000000000000,Bidur,Nagarpalika,Fully damaged
63,85.147999999999996,27.920999999999999,10.000000000000000,RCC Bridge,NUWAKOT,1.000000000000000,Bidur,Nagarpalika,Fully damaged
64,85.149000000000001,27.922000000000001,10.000000000000000,RCC Bridge,NUWAKOT,1.000000000000000,Bidur,Nagarpalika,Fully damaged
65,85.150000000000006,27.927000000000000,2.000000000000000,Suspension Bridge,NUWAKOT,1.000000000000000,Bidur,Nagarpalika,Fully damaged
66,85.158000000000001,27.939000000000000,2.000000000000000,Suspension Bridge,NUWAKOT,9.000000000000000,Bidur,Nagarpalika,Fully damaged
67,85.162999999999997,27.949000000000002,2.000000000000000,Water Diversion Bridge,NUWAKOT,10.000000000000000,Bidur,Nagarpalika,Fully damaged
68,85.162999999999997,27.949000000000002,2.000000000000000,Water Diversion Bridge,NUWAKOT,10.000000000000000,Bidur,Nagarpalika,Fully damaged
69,85.164000000000001,27.956000000000000,10.000000000000000,RCC Bridge,NUWAKOT,7.000000000000000,Bidur,Nagarpalika,Fully damaged
70,85.173000000000002,27.963999999999999,10.000000000000000,RCC Bridge,NUWAKOT,7.000000000000000,Bidur,Nagarpalika,Fully damaged
71,85.174000000000007,27.963999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,7.000000000000000,Bidur,Nagarpalika,Fully damaged
72,85.183999999999997,27.972999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,10.000000000000000,Bidur,Nagarpalika,Fully damaged
73,85.186000000000007,27.974000000000000,10.000000000000000,RCC Bridge,NUWAKOT,10.000000000000000,Bidur,Nagarpalika,Fully damaged
74,85.180999999999997,27.978999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,7.000000000000000,Bidur,Nagarpalika,Fully damaged
75,85.180000000000007,27.981999999999999,2.000000000000000,Suspension Bridge,NUWAKOT,7.000000000000000,Bidur,Nagarpalika,Fully damaged
76,85.176000000000002,27.983000000000001,10.000000000000000,RCC Bridge,NUWAKOT,5.000000000000000,Kispang,Gaunpalika,Fully damaged
77,85.185000000000002,27.995000000000001,10.000000000000000,RCC Bridge,RASUWA,5.000000000000000,Uttargaya,Gaunpalika,Fully damaged
78,85.183999999999997,28.009000000000000,2.000000000000000,Suspension Bridge,NUWAKOT,5.000000000000000,Kispang,Gaunpalika,Fully damaged
79,85.194000000000003,28.039000000000001,2.000000000000000,Suspension Bridge,RASUWA,1.000000000000000,Kalika,Gaunpalika,Fully damaged
80,85.206000000000003,28.065000000000001,10.000000000000000,RCC Bridge,RASUWA,1.000000000000000,Kalika,Gaunpalika,Fully damaged
81,85.206999999999994,28.071999999999999,2.000000000000000,Suspension Bridge,RASUWA,1.000000000000000,Uttargaya,Gaunpalika,Fully damaged
82,85.212999999999994,28.076000000000001,2.000000000000000,Suspension Bridge,RASUWA,1.000000000000000,Kalika,Gaunpalika,Fully damaged
83,85.215000000000003,28.077000000000002,2.000000000000000,Suspension Bridge,RASUWA,1.000000000000000,Kalika,Gaunpalika,Fully damaged
84,85.233000000000004,28.090000000000000,2.000000000000000,Suspension Bridge,RASUWA,1.000000000000000,Uttargaya,Gaunpalika,Fully damaged
85,85.275000000000006,28.108000000000001,10.000000000000000,RCC Bridge,RASUWA,1.000000000000000,Parbati Kunda,Gaunpalika,Fully damaged
86,85.281000000000006,28.113000000000000,2.000000000000000,Suspension Bridge,RASUWA,6.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
87,85.289000000000001,28.120000000000001,2.000000000000000,Suspension Bridge,RASUWA,2.000000000000000,Parbati Kunda,Gaunpalika,Fully damaged
88,85.293999999999997,28.123999999999999,2.000000000000000,Suspension Bridge,RASUWA,2.000000000000000,Parbati Kunda,Gaunpalika,Fully damaged
89,85.307000000000002,28.140999999999998,2.000000000000000,Suspension Bridge,RASUWA,2.000000000000000,Parbati Kunda,Gaunpalika,Fully damaged
90,85.332999999999998,28.157000000000000,10.000000000000000,RCC Bridge,RASUWA,5.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
91,85.340000000000003,28.164000000000001,10.000000000000000,RCC Bridge,RASUWA,5.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
92,85.343000000000004,28.166000000000000,2.000000000000000,Suspension Bridge,RASUWA,5.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
93,85.341999999999999,28.181999999999999,10.000000000000000,RCC Bridge,RASUWA,5.000000000000000,Parbati Kunda,Gaunpalika,Fully damaged
94,85.343000000000004,28.181999999999999,10.000000000000000,RCC Bridge,RASUWA,3.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
95,85.352999999999994,28.202999999999999,10.000000000000000,RCC Bridge,RASUWA,3.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
96,85.353999999999999,28.209000000000000,2.000000000000000,Suspension Bridge,RASUWA,3.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
97,85.353999999999999,28.210999999999999,2.000000000000000,Suspension Bridge,RASUWA,3.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
98,85.361000000000004,28.225999999999999,2.000000000000000,Suspension Bridge,RASUWA,3.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
99,85.358000000000004,28.239999999999998,10.000000000000000,RCC Bridge,RASUWA,2.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
100,85.378000000000000,28.279000000000000,10.000000000000000,RCC Bridge,RASUWA,2.000000000000000,Gosaikunda,Gaunpalika,Fully damaged
