lon,lat,distance_km,elevation_m
85.4352192578799,28.33383036992615,11.401003053078503,2350.0
85.43482087452698,28.333611111176015,11.45100745243411,2339.0
85.43444963646107,28.333338529208824,11.501011851789718,2335.0
85.43411168025904,28.333000575174353,11.551016251145326,2334.0
85.43377372618497,28.332662620371057,11.601020650500931,2329.0
85.43343577423882,28.33232466479897,11.65102504985654,2326.0
85.43300411436132,28.332170781175613,11.701029449212148,2324.0
85.43277777778242,28.33179540864597,11.751033848567754,2317.0
85.43253624301917,28.331425132019145,11.801038247923364,2314.0
85.43204469786946,28.33138888905638,11.85104264727897,2311.0
85.43167292598142,28.331117370447448,11.901047046634577,2308.0
85.43124126772325,28.330963490709003,11.951051445990185,2302.0
85.43090331656464,28.3306255392177,12.001055845345793,2294.0
85.4304289518223,28.330555555779767,12.0510602447014,2292.0
85.43004000345562,28.330317782191436,12.101064644057008,2291.0
85.42969178658417,28.330000000120513,12.151069043412615,2284.0
85.42918179807458,28.3300000011307,12.201073442768221,2284.0
85.4286718096619,28.330000000233696,12.25107784212383,2284.0
85.42830322788922,28.33027777792776,12.301082241479437,2284.0
85.42779323831677,28.33027777945859,12.351086640835044,2284.0
85.42728324884135,28.330277779082206,12.401091040190652,2284.0
85.42683100692763,28.330391215546875,12.45109543954626,2280.0
85.42649305630904,28.330381945427177,12.501099838901867,2278.0
85.42603609542583,28.33027777804005,12.551104238257475,2272.0
85.42562974588641,28.33007419052222,12.601108637613082,2264.0
85.42515752596923,28.330000000635177,12.651113036968688,2263.0
85.4246727319569,28.329950509877804,12.701117436324298,2257.0
85.4242789582874,28.32972222245897,12.751121835679903,2254.0
85.4238094245896,28.329801686734736,12.801126235035511,2249.0
85.42340039152246,28.330000000051736,12.85113063439112,2248.0
85.4230318113638,28.3297222222686,12.901135033746726,2248.0
85.42252182544941,28.329722222265012,12.951139433102334,2240.0
85.42201183963235,28.329722222274288,13.001143832457942,2237.0
85.42165115565766,28.329428934410483,13.05114823181355,2236.0
85.42127468226329,28.329166666735254,13.101152631169155,2233.0
85.42088155616094,28.328937111856888,13.151157030524764,2230.0
85.42044990481335,28.328783238377174,13.201161429880372,2229.0
85.4202777777808,28.32838969734275,13.25116582923598,2218.0
85.41997290215528,28.32805555563568,13.301170228591587,2217.0
85.4194629247858,28.328055556138935,13.351174627947193,2214.0
85.41902504151734,28.32791393065065,13.401179027302803,2214.0
85.41858437386185,28.327777778058167,13.451183426658408,2213.0
85.41816174363541,28.327606190123156,13.501187826014016,2213.0
85.41782379748611,28.327268245815567,13.551192225369624,2204.0
85.41748585346404,28.32693030074021,13.601196624725231,2204.0
85.41714791103546,28.326740978058034,13.651201024080839,2203.0
85.41674151211475,28.32694444553351,13.701205423436447,2203.0
85.41623154067051,28.32694444693731,13.751209822792054,2201.0
85.41572156932399,28.326944446434165,13.80121422214766,2203.0
85.41523392221349,28.326900589010165,13.85121862150327,2203.0
85.41484302758751,28.32666666673617,13.901223020858875,2204.0
85.41467236313193,28.326339029942684,13.951227420214483,2205.0
85.41444444444905,28.325964197943055,14.001231819570092,2212.0
85.41420450583162,28.32559339736939,14.051236218925698,2215.0
85.41386656325699,28.325255456050783,14.101240618281306,2215.0
85.41352862280935,28.324917513964685,14.151245017636914,2215.0
85.41333333333742,28.324531743147926,14.201249416992521,2214.0
85.41306077114143,28.32417188227064,14.251253816348127,2208.0
85.41305555556744,28.32372238262095,14.301258215703736,2207.0
85.41280094745468,28.323356503084987,14.351262615059344,2205.0
85.41277777779155,28.322913023372678,14.40126701441495,2191.0
85.41301443147358,28.3225411251031,14.45127141377056,2176.0
85.4133142981293,28.322203187080497,14.501275813126165,2173.0
85.413055555567,28.32183869568338,14.551280212481773,2170.0
85.41305447584675,28.321387809184003,14.60128461183738,2164.0
85.41283901580086,28.321049873267544,14.651289011192988,2161.0
85.4130555555709,28.320671232433543,14.701293410548596,2161.0
85.41309883683357,28.32023449663709,14.751297809904203,2161.0
85.4133333333565,28.31986187785664,14.801302209259811,2161.0
85.41333333336799,28.319410629149715,14.851306608615417,2154.0
85.41348856692422,28.3190114333332,14.901311007971026,2154.0
85.41339572251248,28.31867350046041,14.951315407326632,2154.0
85.41333333335002,28.31824317210294,15.00131980668224,2154.0
85.41353076261808,28.31785812648549,15.051324206037847,2161.0
85.41361111112859,28.317433820543886,15.101328605393455,2166.0
85.4137905803727,28.317042753199377,15.151333004749064,2171.0
85.4136492672879,28.31670482295934,15.20133740410467,2172.0
85.41361111120622,28.316266368999276,15.251341803460278,2172.0
85.41361111122109,28.315815120016484,15.301346202815886,2171.0
85.41361111113805,28.31536387100499,15.351350602171493,2159.0
85.41388456612181,28.31500432278312,15.401355001527099,2158.0
85.4136111111247,28.314647674173976,15.451359400882708,2152.0
85.41361111114996,28.31419642508823,15.501363800238316,2151.0
85.41371873325359,28.313781266994113,15.551368199593922,2142.0
85.41388888892176,28.31338707938054,15.601372598949531,2139.0
85.4138888889146,28.31293583016744,15.651376998305137,2139.0
85.41366932154135,28.312558215227135,15.701381397660745,2139.0
85.41333139470014,28.31222029338236,15.751385797016352,2140.0
85.41299346998453,28.311882370770462,15.80139019637196,2151.0
85.41265554739448,28.311544447391483,15.851394595727568,2151.0
85.41231762692995,28.311206523245453,15.901398995083175,2151.0
85.4119797085909,28.310868598332412,15.951403394438783,2143.0
85.41166666667125,28.310675005089237,16.00140779379439,2140.0
85.4119151372081,28.31030708511276,16.051412193149996,2133.0
85.41204504232897,28.309899402356606,16.101416592505604,2133.0
85.41222222223983,28.309507574199614,16.15142099186121,2121.0
85.41213959240828,28.309084037056895,16.20142539121682,2120.0
85.41194444444854,28.308698235757994,16.251429790572427,2103.0
85.41167176826586,28.30833843686847,16.301434189928035,2097.0
85.41133385034927,28.308000518738254,16.351438589283642,2090.0
85.41093732161129,28.307777777844137,16.40144298863925,2090.0
85.41056433330932,28.30750877778362,16.451447387994858,2097.0
85.4101327330718,28.307354956048012,16.50145178735046,2092.0
85.40979481674508,28.307017039411313,16.551456186706073,2092.0
85.40936321840702,28.30686321860925,16.60146058606168,2092.0
85.40916666667086,28.306477890867736,16.651464985417284,2091.0
85.40889539909598,28.30611762324862,16.701469384772896,2089.0
85.40855748455174,28.305779708502772,16.751473784128503,2081.0
85.40833333333804,28.305403638358673,16.801478183484107,2079.0
85.40808966930777,28.305034113857456,16.851482582839715,2077.0
85.40765807532055,28.30488029820338,16.901486982195326,2074.0
85.40732016255876,28.304542385348466,16.95149138155093,2068.0
85.40688856958955,28.304388571318356,17.001495780906538,2064.0
85.40655065262514,28.304050663125075,17.05150018026215,2063.0
85.40621273778541,28.30371275416526,17.101504579617753,2060.0
85.40587482507033,28.303374844438956,17.15150897897336,2060.0
85.40553691447985,28.30303693394619,17.20151337832897,2060.0
85.40519900601394,28.302699022686987,17.251517777684576,2059.0
85.40486109967257,28.302361110661394,17.301522177040184,2043.0
85.40452319545567,28.302023197869445,17.35152657639579,2033.0
