id,title,type,DISTRICT_max,GAPA_NAPA_min,Long,Lat
16276,Kaule Dispensary,Hospital,CHITAWAN,Ichchhyakamana,84.621638,27.792134
64461,Kaule Hp Chitawan_Chitawan,Health Post,CHITAWAN,Ichchhyakamana,84.64872,27.772985
65269,"Basic Health Service Center , Majhkaule Chitwan",Basic Health Service Centre,CHITAWAN,Ichchhyakamana,84.620758,27.789457
65270,"Community Health Unit Bharang ,Chitwan",Basic Health Service Centre,CHITAWAN,Ichchhyakamana,84.642662,27.748472
13809,Pida SHP,Health Post,DHADING,Gajuri,84.891327,27.758051
52251,Parshant Pharmacy,Pharmacy,DHADING,Benighat Rorang,84.699939,27.80664
52252,Jogimara Health Post,Community Health Unit,DHADING,Benighat Rorang,84.699385,27.806343
52253,Bihani Clinic and Pharmacy Private Limited,Clinic (Eye/Medical),DHADING,Benighat Rorang,84.704041,27.80573
52254,Basic Health Care Center,Basic Health Care Center,DHADING,Benighat Rorang,84.749075,27.803388
52262,Jaipuri Community Health Unit,Community Health Unit,DHADING,Benighat Rorang,84.666807,27.798835
52263,Dhusa Health Post,Health Post,DHADING,Benighat Rorang,84.729025,27.766204
52264,Syadul Community Health Unit,Community Health Unit,DHADING,Benighat Rorang,84.771621,27.763536
52265,Irang Community Health Unit,Community Health Unit,DHADING,Benighat Rorang,84.802589,27.773898
52266,Mahadevsthan Health Post,Health Post,DHADING,Benighat Rorang,84.812164,27.730138
52267,Adharbhut Health Service  Center,Community Health Unit,DHADING,Benighat Rorang,84.868777,27.695884
64444,Pida Hp,Basic Health Service Centre,DHADING,Gajuri,84.891281,27.757906
66207,Basic Health Service Centre -2,Basic Health Service Centre,DHADING,Gajuri,84.82843,27.77495
66208,Basic Health Service Centre -3,Basic Health Service Centre,DHADING,Gajuri,84.858917,27.762005
13872,Ghyalchok SHP,Health Post,GORKHA,Gandaki,84.73645,27.815359
67092,Ghyalchok Basic Health Centre,Basic Health Service Centre,GORKHA,Gandaki,84.726744,27.807356
13766,Baireni HP,Health Post,DHADING,Galchi,84.988289,27.801081
13794,Kiranchok SHP,Health Post,DHADING,Gajuri,84.937798,27.74888
55263,Baireni Aayurved Dispensery,Basic Ayurveda Service Centre,DHADING,Galchi,84.9883,27.8011
55264,Baireni Hospital,Basic Hospital (5 to 15 beds),DHADING,Galchi,84.9883,27.8011
